code,plot,year,species,#adults,#saplings,#seedlings
583,CM5,2013,Halimium halimifolium,5,0,114
586,CM5,2013,Lavandula stoechas,4,1,92
587,CM5,2013,Rosmarinus officinalis,1,0,0
591,CM6,2013,Cistus libanotis,11,8,113
592,CM6,2013,Halimium commutatum,6,1,8
593,CM6,2013,Halimium halimifolium,10,0,79
596,CM6,2013,Lavandula stoechas,42,4,127
597,CM6,2013,Rosmarinus officinalis,20,2,0
601,MM1,2013,Cistus libanotis,29,1,63
602,MM1,2013,Halimium commutatum,2,0,0
603,MM1,2013,Halimium halimifolium,2,0,7
606,MM1,2013,Lavandula stoechas,3,0,12
607,MM1,2013,Rosmarinus officinalis,10,3,2
611,MM2,2013,Cistus libanotis,26,0,2
612,MM2,2013,Halimium commutatum,1,1,10
613,MM2,2013,Halimium halimifolium,23,0,6
616,MM2,2013,Lavandula stoechas,3,0,1
617,MM2,2013,Rosmarinus officinalis,5,4,1
621,MM3,2013,Cistus libanotis,2,2,21
622,MM3,2013,Halimium commutatum,22,2,40
623,MM3,2013,Halimium halimifolium,13,2,41
626,MM3,2013,Lavandula stoechas,0,0,11
627,MM3,2013,Rosmarinus officinalis,10,1,0
631,MM4,2013,Cistus libanotis,5,3,4
632,MM4,2013,Halimium commutatum,22,7,2
633,MM4,2013,Halimium halimifolium,33,0,5
636,MM4,2013,Lavandula stoechas,0,0,0
637,MM4,2013,Rosmarinus officinalis,13,0,1
641,MM5,2013,Cistus libanotis,11,4,24
642,MM5,2013,Halimium commutatum,8,0,17
643,MM5,2013,Halimium halimifolium,12,0,13
646,MM5,2013,Lavandula stoechas,7,2,13
647,MM5,2013,Rosmarinus officinalis,60,12,3
651,MM6,2013,Cistus libanotis,23,16,12
652,MM6,2013,Halimium commutatum,14,1,8
653,MM6,2013,Halimium halimifolium,10,2,13
656,MM6,2013,Lavandula stoechas,6,3,6
657,MM6,2013,Rosmarinus officinalis,35,13,2
661,OM1,2013,Cistus libanotis,10,3,5
662,OM1,2013,Halimium commutatum,3,1,3
663,OM1,2013,Halimium halimifolium,3,0,2
666,OM1,2013,Lavandula stoechas,4,2,34
